epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9973,1.15777,2.81444,3.8377,1.38328,0,0.00061,0.48276,0.26656,0.19796,0.00057,0.44828,0.24444,0.16973,0.99939,2.44277,3.98688,1.26325,0,0.000541044,0.000541044,0.000541044
2,42.5056,1.06761,1.4359,2.19481,1.21092,0,0.69098,0.36207,0.53187,0.31623,0.70187,0.37931,0.5598,0.33233,1.32507,1.98565,3.25403,1.5361,0,0.001075,0.001075,0.001075
3,64.2144,0.98713,1.36301,1.51809,1.16599,0,0.85557,0.77161,0.84424,0.57562,0.85283,0.73624,0.82553,0.53298,1.01696,1.55999,1.55051,1.33086,0,0.00158694,0.00158694,0.00158694
4,85.853,0.99565,1.29476,1.33245,1.16104,0,0.66962,0.81859,0.79084,0.55093,0.58178,0.7034,0.65503,0.45091,1.00603,2.28595,1.61867,1.34979,0,0.00156798,0.00156798,0.00156798
5,107.49,0.97396,1.16589,1.26876,1.16025,0,0.91787,0.84583,0.90372,0.70102,0.89216,0.85272,0.88107,0.69209,0.90031,1.38238,1.48768,1.22123,0,0.00153497,0.00153497,0.00153497
6,129.124,0.89488,1.10866,1.16042,1.11202,0,0.90972,0.79785,0.88135,0.68333,0.82198,0.73988,0.7808,0.5782,0.85394,1.76897,1.58322,1.17956,0,0.00150197,0.00150197,0.00150197
7,150.772,0.78838,0.92525,1.00369,1.06,0,0.86589,0.84597,0.92666,0.76026,0.86589,0.84597,0.92782,0.76903,0.72251,0.90755,1.20924,1.04593,0,0.00146896,0.00146896,0.00146896
8,172.354,0.75335,0.8815,0.95364,1.04532,0,0.96878,0.90933,0.96113,0.78363,0.96878,0.90933,0.96957,0.86152,0.77087,0.60899,1.06729,1.0842,0,0.00143595,0.00143595,0.00143595
9,193.972,0.7408,0.87222,0.88475,1.0338,0,0.96982,0.92479,0.96855,0.78896,0.96982,0.92479,0.96843,0.8579,0.70799,0.55622,0.92722,1.00874,0,0.00140295,0.00140295,0.00140295
10,215.687,0.75555,0.88048,0.88498,1.0172,0,0.98012,0.94555,0.98455,0.81535,0.98012,0.94555,0.98519,0.855,0.6814,0.62104,0.78973,1.00334,0,0.00136994,0.00136994,0.00136994
11,237.281,0.73831,0.85002,0.83346,1.02693,0,0.91026,0.92579,0.94873,0.79868,0.91026,0.92579,0.94873,0.82098,0.64648,0.62794,0.87052,0.98263,0,0.00133693,0.00133693,0.00133693
